sample_id,group,status,input_dir,output_dir,slice_count,xy_um_per_pixel,z_um_per_slice,roi_pixel_count,frame_pixel_count,roi_fraction_of_frame,roi_area_um2,included_slice_count,z_spacing_um,sampled_depth_um,stack_span_um,sampled_roi_volume_um3,detection_positive_slice_count,detection_positive_z_min,detection_positive_z_max,detection_positive_slice_fraction,raw_2d_detection_count,raw_2d_detections_per_1000_um2_per_slice,saturn_classical_count,unet_rescued_count,unet_rescue_fraction,saturn_classical_2d_count,unet_primary_2d_count,unet_supported_2d_count,unet_rescued_2d_count,unet_rescued_direct_2d_count,unet_rescued_split_2d_count,unet_rescued_short_high_confidence_2d_count,unet_rescued_low_ratio_high_confidence_2d_count,unet_rescued_other_2d_count,unet_probability_supported_2d_count,median_probability_of_unet_supported,median_probability_of_unet_rescues,unet_rescue_fraction_of_2d_detections,estimated_unique_nuclei,estimated_unique_nuclei_classical_only,estimated_unique_nuclei_with_unet_evidence,estimated_unique_nuclei_unet_fraction,estimated_nuclei_per_1000_um2,estimated_nuclei_per_100000_um3,qc_technical_failure_track_count,qc_classical_only_3d_track_count,qc_unet_associated_3d_track_count,qc_analysis_population_unet_track_count,lower_z_boundary_track_count,upper_z_boundary_track_count,z_boundary_track_count,z_boundary_track_fraction,z_coverage_censored,normalization_valid,normalization_warning,median_2d_length_um,median_2d_width_um,median_2d_length_width_ratio,median_body_width_um,median_body_width_p90_um,median_area_length_width_um,median_length_body_width_ratio,body_width_available_fraction,median_3d_length_um,median_3d_tortuosity,median_3d_thickness_um,median_3d_volume_um3,median_3d_z_span_um,acquisition_class,message
w1118_sv_feb_40xx0.75-17,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-18,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-2,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-3,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-4,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-5,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-6,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-7,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-8,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w1118_sv_feb_40xx0.75-9,WT,excluded,C:\Users\dmishra\Desktop\KJ Images and mutant-Grace\w1118 sv feb\w1118 sv feb 40xx0.75-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
